# Tianshome.com Network Geofeed
# AS202734
# Contact: geofeed@tianshome.com

# hkng7
2001:678:1184::852:7/128,CN,CN-HK,Chek Lap Kok,
2001:678:1184:0:81:7:852:7/128,CN,CN-HK,Chek Lap Kok,
2001:678:1184:0:852:7:0:1/128,CN,CN-HK,Chek Lap Kok,
2001:678:1184:0:1253:1:852:7/128,CN,CN-HK,Chek Lap Kok,

# lndn1
2001:678:1184:0:852:7:4420:1/128,GB,GB-ENG,London,E14 9SZ
2001:678:1184:0:972:1:4420:1/128,GB,GB-ENG,London,E14 9SZ
2001:678:1184:0:4420:1:0:1/128,GB,GB-ENG,London,E14 9SZ

# mtrl2
2001:678:1184::53:a/128,CA,CA-QC,Westmont,H3Z
2001:678:1184::53:b/128,CA,CA-QC,Westmont,H3Z
2001:678:1184:0:1253:1:1263:2/128,CA,CA-QC,Westmont,H3Z
2001:678:1184:0:1263:2:0:1/128,CA,CA-QC,Westmont,H3Z
2001:678:1184:0:1778:1:1263:2/128,CA,CA-QC,Westmont,H3Z
2001:678:1184:0:4420:1:1263:2/128,CA,CA-QC,Westmont,H3Z

# nycm1
2001:678:1184::1917:1/128,US,US-NY,Manhattan,10280
2001:678:1184:0:1253:1:1917:1/128,US,US-NY,Manhattan,10280
2001:678:1184:0:1263:2:1917:1/128,US,US-NY,Manhattan,10280
2001:678:1184:0:4420:1:1917:1/128,US,US-NY,Manhattan,10280

# nycm2
2001:678:1184:0:1253:1:1917:2/128,US,US-NY,Brooklyn,11213
2001:678:1184:0:1263:2:1917:2/128,US,US-NY,Brooklyn,11213
2001:678:1184:0:4420:1:1917:2/128,US,US-NY,Brooklyn,11213

# sngp1
2001:678:1184::65:1/128,SG,-,Changi,819642
2001:678:1184:0:81:6:65:1/128,SG,-,Changi,819642
2001:678:1184:0:81:8:65:1/128,SG,-,Changi,819642
2001:678:1184:0:852:7:65:1/128,SG,-,Changi,819642
2001:678:1184:0:1253:1:65:1/128,SG,-,Changi,819642
2001:678:1184:0:4420:1:65:1/128,SG,-,Changi,819642
2001:678:1184:65a::/64,SG,-,Changi,819642

# sttl1
2001:678:1184::1253:1/128,US,US-WA,Kent,98032
2001:678:1184:0:1253:1:0:1/128,US,US-WA,Kent,98032

# tkyo6
2001:678:1184::81:6/128,JP,JP-13,Ota City,144-0041
2001:678:1184:0:81:7:81:6/128,JP,JP-13,Ota City,144-0041
2001:678:1184:0:81:8:81:6/128,JP,JP-13,Ota City,144-0041
2001:678:1184:0:1253:1:81:6/128,JP,JP-13,Ota City,144-0041

# tkyo7
2001:678:1184:0:81:7:0:1/128,JP,JP-13,Shinagawa-ku,142-0002
2001:678:1184:0:1253:1:81:7/128,JP,JP-13,Shinagawa-ku,142-0002

# tkyo8
2001:678:1184:0:81:7:81:8/128,JP,JP-13,Ota City,144-0041
2001:678:1184:0:81:8:0:1/128,JP,JP-13,Ota City,144-0041
2001:678:1184:0:1253:1:81:8/128,JP,JP-13,Ota City,144-0041

# tlvv1
2001:678:1184::972:1/128,IL,IL-TA,Rosh HaAyin,4809139
2001:678:1184:0:972:1:0:1/128,IL,IL-TA,Rosh HaAyin,4809139

# vncv1
2001:678:1184:0:81:7:1778:1/128,CA,CA-BC,Vancouver,V6T
2001:678:1184:0:1253:1:1778:1/128,CA,CA-BC,Vancouver,V6T
2001:678:1184:0:1778:1:0:1/128,CA,CA-BC,Vancouver,V6T

# yngp2-211
2001:678:1184::8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:0:81:7:8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:0:81:8:8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:0:852:7:8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:0:1253:1:8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:0:4420:1:8621:211/128,CN,CN-SH,Yangpu,200433
2001:678:1184:8621::/64,CN,CN-SH,Yangpu,200433
2001:678:1184:8621::1/128,CN,CN-SH,Yangpu,200433
2001:678:1184:8621:1080::1/128,CN,CN-SH,Yangpu,200433
2a0f:1cc5:1265:8621:1080::1/128,CN,CN-SH,Yangpu,200433
